survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments,year,yday,gather_lat,gather_long,ysi_unit_sn,sampling_bout,line_out_depth,collected,temperature,salinity,quality_level,quality_log
DE303,2016-06-08,D11,"Luke Rogers, Tim Spesivy, Shannon Mendt",none,100,1,0.1-5,W,NA,NA,NA,1,13,1,NA,2,standard,NA,2016,160,50.347585,-125.455286,15B102233,1,0,2016-06-08 08:25:00 PDT,10.9,29,Technician,NA
DE303,2016-06-08,D11,"Luke Rogers, Tim Spesivy, Shannon Mendt",none,100,1,0.1-5,W,NA,NA,NA,1,13,1,NA,2,standard,NA,2016,160,50.347585,-125.455286,15B102233,1,1,2016-06-08 08:25:00 PDT,10.9,25,Technician,NA
DE317,2016-06-14,D09,"Luke Rogers, Brianna Knowles, Sam James",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,standard,random blind set thus no other data collected,2016,166,50.307131,-125.332424,15B102233,1,1,2016-06-14 16:17:00 PDT,12.1,28.5,Technician,NA
DE317,2016-06-14,D09,"Luke Rogers, Brianna Knowles, Sam James",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,standard,random blind set thus no other data collected,2016,166,50.307131,-125.332424,15B102233,1,0,2016-06-14 16:17:00 PDT,12.1,28.4,Technician,NA
DE322,2016-06-14,D09,"Luke Rogers, Brianna Knowles, Sam James",none,50,1,0.1-5,S,NA,NA,NA,1,11,1,NA,1,standard,"3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N, 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed, no fish in net. 3) 07:40 @ western mooring. No surface activity observed, no fish.",2016,166,50.307131,-125.332424,15B102233,1,1,2016-06-14 16:17:00 PDT,12.1,28.5,Technician,NA
DE322,2016-06-14,D09,"Luke Rogers, Brianna Knowles, Sam James",none,50,1,0.1-5,S,NA,NA,NA,1,11,1,NA,1,standard,"3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N, 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed, no fish in net. 3) 07:40 @ western mooring. No surface activity observed, no fish.",2016,166,50.307131,-125.332424,15B102233,1,0,2016-06-14 16:17:00 PDT,12.1,28.4,Technician,NA
DE327,2016-06-16,D07,"Sam James, Kate Holmes, Luke Rogers",none,25,0,0.1-5,S,NA,NA,NA,2,8.5,1,NA,1,standard,NA,2016,168,NA,NA,15C100324,1,0,2016-06-16 14:22:00 PDT,17.4,24.9,Technician,NA
DE327,2016-06-16,D07,"Sam James, Kate Holmes, Luke Rogers",none,25,0,0.1-5,S,NA,NA,NA,2,8.5,1,NA,1,standard,NA,2016,168,NA,NA,15C100324,1,1,2016-06-16 14:22:00 PDT,16.9,25,Technician,NA
JE264,2016-06-09,J02,"Lauren Portner, Brianna Knowles, Sam James, Melissa Orobko",none,25,1,0.1-5,NW,NA,NA,NA,1,11,1,NA,1,standard,NA,2016,161,50.602143,-126.701418,15C100324,1,0,2016-06-09 17:08:00 PDT,10.4,31.9,Technician,NA
JE264,2016-06-09,J02,"Lauren Portner, Brianna Knowles, Sam James, Melissa Orobko",none,25,1,0.1-5,NW,NA,NA,NA,1,11,1,NA,1,standard,NA,2016,161,50.602143,-126.701418,15C100324,1,1,2016-06-09 17:08:00 PDT,9.8,31.9,Technician,NA
JE268,2016-06-10,J08,"Lauren Portner, Sam James, Claire Atkinson, Melissa Orobko",moderate,100,0,0,NA,NA,NA,NA,1,10.5,1,NA,1,standard,NA,2016,162,50.480078,-126.415153,15C100324,1,1,2016-06-10 14:46:00 PDT,10.1,32.2,Technician,Changed from J04 & updated entries based on new fields - JG 2017/10/03
JE268,2016-06-10,J08,"Lauren Portner, Sam James, Claire Atkinson, Melissa Orobko",moderate,100,0,0,NA,NA,NA,NA,1,10.5,1,NA,1,standard,NA,2016,162,50.480078,-126.415153,15C100324,1,0,2016-06-10 14:46:00 PDT,10.1,32.2,Technician,Changed from J04 & updated entries based on new fields - JG 2017/10/03
JE269,2016-06-11,J06,"Lauren Portner, Sam James, Brianna Knowles",none,100,1,5-10,NW,NA,NA,NA,1,8,1,NA,1,standard,NA,2016,163,50.456484,-126.153848,15C100324,1,0,2016-06-11 06:36:00 PDT,9.9,30.9,Technician,NA
JE269,2016-06-11,J06,"Lauren Portner, Sam James, Brianna Knowles",none,100,1,5-10,NW,NA,NA,NA,1,8,1,NA,1,standard,NA,2016,163,50.456484,-126.153848,15C100324,1,1,2016-06-11 06:36:00 PDT,9.9,31,Technician,NA
